Item Name,Price (₹),Category,Veg/Non-Veg,Description
Chicken Varta,170,Non-Veg Main Course,Non-Veg,Punjabi style chicken curry
Veg Thali,60,Thali,Veg,Complete vegetarian meal platter
Veg Thali (Basmati),110,Thali,Veg,Vegetarian thali with basmati rice
Fish Thali,80,Thali,Non-Veg,Complete fish meal platter
Chicken Thali,150,Thali,Non-Veg,Complete chicken meal platter
Egg Thali,70,Thali,Non-Veg,Complete egg meal platter
Mutton Thali,220,Thali,Non-Veg,Complete mutton meal platter
Green Salad,60,Veg Side Dish,Veg,Fresh green salad
Chana Masala,100,Veg Side Dish,Veg,Spiced chickpea curry
Chana Paneer,180,Veg Side Dish,Veg,Chickpea and cottage cheese curry
Paneer Butter Masala,170,Veg Side Dish,Veg,Creamy paneer butter curry
Chili Paneer,170,Veg Side Dish,Veg,Spicy chili paneer preparation
Mix Veg,100,Veg Side Dish,Veg,Mixed vegetable curry
Daal Fry,100,Veg Side Dish,Veg,Tempered lentil curry
Aloo Dum,100,Veg Side Dish,Veg,Spiced potato curry
Kadhai Paneer,170,Veg Side Dish,Veg,Paneer cooked in kadhai with spices
Plain Tadka,60,Tadka,Veg,Simple tempered dal
Egg Butter Tadka,70,Tadka,Non-Veg,Egg dal with butter tempering
Egg Tadka,65,Tadka,Non-Veg,Egg tempered dal
Mutton Butter Tadka,200,Tadka,Non-Veg,Mutton dal with butter tempering
Chicken Butter Tadka,130,Tadka,Non-Veg,Chicken dal with butter tempering
Chicken Fry,90,Snacks,Non-Veg,Fried chicken pieces
Boiled Chana,80,Snacks,Veg,Boiled chickpeas with spices
Rice Chicken,220,Snacks,Non-Veg,Chicken served with rice
Chicken Kurkure,220,Snacks,Non-Veg,Crispy fried chicken
Chicken Tandoori Masala (2 Pc),360,Snacks,Non-Veg,2 pieces tandoori chicken masala
Chicken Tandoori Masala (4 Pc),720,Snacks,Non-Veg,4 pieces tandoori chicken masala
Chicken Butter Masala,180,Snacks,Non-Veg,Chicken in butter gravy
Chicken Biryani,100,Biryani,Non-Veg,Regular chicken biryani
Chicken Biryani,130,Biryani,Non-Veg,Special chicken biryani
Mutton Biryani,170,Biryani,Non-Veg,Traditional mutton biryani
Chicken Fried Rice,140,Biryani,Non-Veg,Chicken fried rice
Veg Fried Rice,120,Biryani,Veg,Vegetable fried rice
Mix Fried Rice,170,Biryani,Veg,Mixed vegetable fried rice
Egg Fried Rice,130,Biryani,Non-Veg,Egg fried rice
Egg Biryani,90,Biryani,Non-Veg,Egg biryani
Veg Biryani,100,Biryani,Veg,Vegetable biryani
